Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Optionable,Shares Outstanding (mil),Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.,Beta,Current Assets  ($mil),Intangibles ($mil),Inventory ($mil),Receivables ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,S&P 500 - ETF,Avg Volume,52 Week High,52 Week Low,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),12 Mo Trailing EPS,Last Qtr EPS,Last EPS Report Date (yyyymmdd),Next EPS Report Date  (yyyymmdd),Last Reported Qtr (yyyymm),Actual EPS used in Surprise ($/sh),Avg EPS Surprise (Last 4 Qtrs),Previous EPS Surprise (%),Last EPS Surprise (%),Average Target Price,% Rating Downgrades ,% Rating Upgrades ,% Rating Hold,# Rating Downgrades ,# Rating Upgrades,Change in Avg Rec ,Rank in Industry (of ABR),Industry Rank (of ABR),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,# Rating Strong Sell or Sell,# Rating Hold,% Rating Strong Buy or Buy,# Rating Strong Buy or Buy,# of Brokers in Rating,Current Avg Broker Rec,P/E (F1),% Change F1 Est. (4 weeks),Div. Yield %,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,# of Analysts in Q2 Consensus,F0 Consensus Est.,St. Dev. Q2 / Q2 Consensus,# of Analysts in F0 Consensus,# of Analysts in F1 Consensus,St. Dev. F1 / F1 Consensus,# of Analysts in F2 Consensus,5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,% Change EPS (F(-1)/F(-2)),Last Yr`s Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),P/E (Trailing 12 Months),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales ($mil),Cost of Goods Sold ($mil),EBITDA ($mil),EBIT ($mil),Pretax Income ($mil),Net Income  ($mil),Cash Flow ($mil),Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin %,Operating Margin 12 Mo %,Turnover,Inventory Turnover,Asset Utilization
Agilent Technologies,A,33268.67,NYSE,10,Medical,Medical - Products,YES,285.1,116.69,5.29,202410,5.57,6.08,1.11,3959,5024,972,1324,1895,3345,0,5898,21.14,35.705,0.55533,2.2,1.58,0.87757,YES,2197268,154.64,116.69,-2.98,-8.18,-12.55,-13.14,5.31,1.31,20250226,20250604,202501,1.30999,3.7,3.55,3.15,151.71,0,0,50,0,0,0,57,61,0,0,0,8,50,8,16,2,20.96,0.1,0.85,0,-8.51,0.13,-2.83,0.89,-3.61,-0.56,1.27,6,1.27,7,1.41,0.01,5,5.24,0.03,7,7,0.00306,7,12.9,6.4,1.86,-2.76,5.24,96.73,103.86,-4.73,5.28,6740.54394,1627.99401,21.98,19.21,3.27,18.67,5.52,5.09,25.56,17.55,17.77099,13.47,13.38899,4752.66699,6510,2975,1874,1617,1521,1289,1796,3.95161,1.86,3.95161,0.68,6.866,0.99,19.27,23.51,5.0959,3.04739,0.57292
Alcoa,AA,7937.41,NYSE,12,Industrial Products,Metal Products - Distribution,YES,258.89,30.66,1.35,202412,4.11,3.33,2.55,4914,0,1998,1239,3395,2470,0,5157,19.96,32.38499,0.47896,1.45,0.86,0.49396,NO,4890921,47.42,28.17,-12,-8.29,-19.29,-18.85,0.96,1.04,20250122,20250416,202412,1.03999,43.62,147.83,11.83,49.2,0,0,20,0,0,0,2,171,0,0,0,2,80,8,10,1.45,7.46,-2.1,1.3,12.94,-12.55,0,3.37,-9.06,0,5.59,0.93,4,1.68,4,0.84,0.23,3,0.95,0.36,4,5,0.18136,5,,40.8,109.22,159.47,204.3,162.02,-208.02,12.74,2.98,13450.01269,3569.62011,31.94,9.22,0.18,8.44,1.54,0.67,5.54,3.79,3.78229,2.07,1.9383,1587.48291,11895,10044,1087,445,289,60,938,109.21659,109.22,66.62857,0.65,0,0.4,0.5,2.49,11.01099,4.9496,0.83121
AAC Technologies,AACAY,7085.83,OTC,12,Computer and Technology,Electronics - Miscellaneous Components,NO,1188.9,5.96,0.21,202412,0.28,0.33,1.18,2543.4519,124.72299,654.05102,826.14001,1345.51403,1161.31604,0,3298.26806,2.61,23.367,0.30492,1.59,,,NO,12761,6.89,2.94,-13.47,-1.73,29.88,25.47,,,20250320,,,,,,,,0,0,0,0,0,-1,18,77,0,0,0,0,100,2,2,1,21.67,10,0.18,76.5,35.06,,,,,10,,,,,,,,0.19,,2,2,0.07713,2,,,,162.5,30.95,,,34.15,,4196.09521,,,18.06,,13.45,2.28,,,,8,,5.8041,3542.91308,3801.61,2503.91894,596.65997,187.79499,127.897,250.011,250.011,143.32208,,,0.66,-28.39901,0.01,,,,,
AIA,AAGIY,81952.96,OTC,12,Finance,Insurance - Life Insurance,NO,2683.46,30.54,2.48,202412,2.6,2.8,0.35,13827,3277,0,5239,220034,11206,0,38550,14.24,23.111,0.30056,0.08,,,NO,528633,38.42,23.33,-3.89,-1.71,7.76,5.97,,,20250314,,,,,,,,0,0,0,0,0,0,1,130,0,0,0,0,100,4,4,1,11.75,0,1.32,47.78,11.48,,,,,0,,,,,,,,2.39,,1,1,,1,,,,89.31,4.84,,,10.28,,,,,10.91,,317.69,2.14,,,,,,,81952.96093,19314,9964,885,885,491,6836,6836,81.6153,,,1.51,4.45569,0.4,,,,,
American Airlines,AAL,7036.06,NSDQ,12,Transportation,Transportation - Airline,YES,657.58,10.7,1.96,202412,2.15,2.96,1.27,13154,6135,2638,2006,24295,25154,0,-3977,-6.05,,-6.32487,0.54,0.43,0.35027,NO,64628160,18.66,9.26,-4.97,-26.36,-37.06,-38.61,1.91,0.86,20250123,20250424,202412,0.86,37.13,130.77,34.38,18.88,0,0,38.1,0,0,0,18,176,0,0,0,8,61.9,13,21,1.81,4.99,-11.19,0,15.32,-33.97,0,-124.88,-1.42,-7.6,-6.28,0.64,9,-0.52,9,1.33,-0.38,7,1.73,0.06,9,9,0.13166,9,,20.92,2.92,-26.04,9.51,-60.99,154.28,2.7,24.4,56975.26171,12801.42187,5.6,3.62,0.24,1.95,,0.13,-28.56,6.18,-8.754,2.15,-3.4545,781.78479,54211,40820,5333,3088,1154,846,3607,2.9197,2.92,-82.87671,0.11,,0,1.56,2.51,27.231,15.85999,0.85431
AAON,AAON,6371.09,NSDQ,12,Construction,Building Products - Air Conditioner and Heating,YES,81.6,78.08,2.02,202412,2.15,2.93,1,488.212,160.15199,187.41999,151.54899,174.90499,138.891,0,824.58197,10.15,14.416,0.16843,2.79,1.72,0.85328,NO,1262332,140.75,71.99,-1.69,-0.71,-33.8,-33.65,2.01,0.3,20250227,20250501,202412,0.3,-8.56,8.62,-44.44,115.5,0,0,33.33,0,0,0,1,157,7.41,0,0,2,66.67,4,6,1.67,36.26,-26.59,0.51,8.86,-29.56,3.7,-53.85,-27.16,,-26.28,0.54,3,0.24,3,0.59,0.04,2,2.26,0,3,3,0.05898,3,28.16,,-5.1,-8.18,6.6,80,52.17,2.75,27.52,1388.5,288,38.85,26.68,,27.4,7.7,5.31,21.43,19.67,20.427,16.17,16.072,2123.69799,1200.64,803.526,272.574,209.496,206.591,168.559,231.63699,-5.10295,-5.1,12.65459,0.54,8.2615,0.4,14.04,14.04,8.57199,4.3178,1.1518
Apple,AAPL,3273309.75,NSDQ,9,Computer and Technology,Computer - Micro Computers,YES,15022.07,217.9,6.75,202409,7.26,8.16,1.18,152987,0,7286,66243,176392,85750,0,56950,4.44,55.706,1.25761,0.92,0.83,0.45046,YES,53351080,259.02,165,1.77,-8.18,-10.64,-12.99,6.97,2.4,20250130,20250501,202412,2.4,4.39,10.07,1.69,251.72,0,0,27.78,0,0,0,3,137,1.15,11.11,4,10,61.11,22,36,2.1,30,-0.17,0.46,56.26,-7.65,-0.04,-0.08,-0.58,0,-0.58,2.36,11,1.61,11,1.48,0.02,7,6.6,0.03,13,12,0.01625,11,16.44,13.82,-4.72,10.11,7.6,66.9,104.93,2.02,7.86,406426.7188,93674.90625,31.26,26.72,2.17,28.54,49.03,8.27,160.83,69.5,54.66199,30.88,26.12199,272775.8125,391035,210352,134930,123485,123485,93736,115427,-3.35997,-4.72,-3.35997,0.61,4.8923,1,24.3,26.88,7.5429,31.83499,1.14869
AllianceBernstein,AB,4241.04,NYSE,12,Finance,Financial - Investment Management,YES,110.53,38.37,3.25,202412,3.59,4.01,1.25,0,0,0,0,0,0,0,2031.86206,18.38,0,0,,,,NO,979430,40.73,31.87,0.66,2.57,3.53,3.45,3.26,1.05,20250206,20250424,202412,1.04999,9.85,5.48,23.53,40.08,0,0,50,0,0,0,16,217,-20,0,0,3,50,3,6,2,10.7,0.28,10.95,73.36,6.87,0,0,0,0,0.17,0.85,2,0.77,3,0.85,0.05,1,3.06,,3,3,0.03638,3,-1.16,12.76,60.26,20.82,10.36,73.33,105.48,7.7,3.31,3600.30004,856.5,11.77,9.56,0.84,11.44,2.09,0.95,17.88,17.88,18.60799,17.87,18.38699,1413.67871,4475.14,0,461.949,461.949,461.949,423.37399,370.84298,60.25724,60.26,59.64319,8.64,-2.5939,4.2,9.46,10.49,,,2.15989
ABB,ABBNY,98445.14,OTC,12,Industrial Products,Manufacturing - Electronics,NO,1860.61,52.91,2.13,202412,2.36,2.62,1.16,20850,11603,5859,7388,15216,6652,0,15060,8.09,30.63699,0.44169,1.37,0.99,0.49967,NO,291245,59.45,45.47,-8.14,-1.84,-1.14,-1.49,2.13,0.54,20250130,20250417,202412,0.54,-9.71,-8.93,0,54.03,0,0,75,0,0,0,15,94,0,8.33,1,9,16.67,2,12,2.83,22.44,-0.25,1.1,53.22,4.85,0,0,,0,-0.19,0.54,2,0.54,1,,,,2.15,,4,5,0.01511,4,18.56,9.87,5.07,5.45,10.7,100,110.2,1.91,5.28,34282.84375,,24.84,20.17,2.27,20.77,6.54,3,27.54,18.93,15.177,9.76,7.12909,19689.02734,32850,20576,6134,5332,5233,3935,4739,5.07343,5.07,-2.1992,1.64,3.16849,0.58,11.98,11.98,4.42229,3.3131,0.81395
AbbVie,ABBV,363153.5,NYSE,12,Medical,Large Cap Pharmaceuticals,YES,1768.98,205.29,10.12,202412,12.3,13.97,0.61,25582,95024,4181,10919,38749,60340,0,3364,1.9,94.719,17.93697,0.66,0.55,0.27051,YES,7193216,216.66,154.79,-3.15,0.13,14.41,15.53,10.12,2.16,20250131,20250425,202412,2.16,2.37,2.74,1.41,211.29,0,0,30.77,0,0,-0.03,5,193,-1.52,0,0,8,69.23,18,26,1.67,16.69,0.14,3.2,81.62,17.85,-0.51,-0.96,0.43,17.52,0.29,2.13,9,2.51,9,3.12,0.02,7,10.08,0.04,9,10,0.01176,9,2.09,11.94,-12.03,-8.91,21.57,116.32,108.77,3.71,7.79,59524.6289,12917.61132,20.29,14.69,1.4,13.75,107.84,6.45,296.28,27.17,27.56399,12.65,15.01799,36315.35156,56334,16904,14262,5876,3716,4278,26387,-12.02962,-12.03,-21.36936,4.23,6.7135,6.56,7.59,31.95,4.89179,3.95549,0.39574
